transaction_id,user_id,amount,hour,device_mobile,device_desktop,device_tablet,country,ip_entropy,session_length,items_in_cart,is_guest,speed_score,timestamp
txn_0,1102,127.38,14,0,1,0,US,0.15601864044243652,50.87888757438155,0,1,64.51828772782933,2025-10-06 23:54:13.323702
txn_1,1308,280.28,11,0,0,1,IN,0.9922115592912175,288.29348581240686,1,0,54.87150131140244,2025-09-22 21:10:56.323702
txn_2,1058,40.85,15,1,0,0,IN,0.6183860093330873,144.60439793115106,4,0,50.542782693731695,2025-09-23 20:15:29.323702
txn_3,1564,21.0,14,0,1,0,GB,0.8331949117361643,57.11748495502496,1,1,56.43652242678222,2025-09-23 08:24:29.323702
txn_4,1389,18.65,3,1,0,0,BR,0.7751328233611146,841.5283257874747,3,0,48.6570209906091,2025-10-10 12:56:11.323702
txn_5,1748,25.32,20,1,0,0,BR,0.6070342476866847,96.88882703818261,1,0,46.735714689540046,2025-09-13 11:19:14.323702
txn_6,1343,40.19,7,1,0,0,FR,0.7068573438476171,391.6988726363997,1,0,34.51660230260624,2025-10-06 17:48:59.323702
txn_7,1502,29.8,23,0,1,0,US,0.27472179299006416,247.14315614742435,4,0,60.69847907751992,2025-09-21 04:42:08.323702
txn_8,1392,99.21,9,1,0,0,IN,0.8957635956735194,193.51873564961318,2,0,34.82190513064944,2025-09-17 09:45:18.323702
txn_9,1159,73.08,18,1,0,0,CN,0.808120379564417,301.0482571561593,2,1,51.17260311933136,2025-09-26 21:38:56.323702
txn_10,1639,131.79,6,0,0,1,IN,0.6476901205413623,0.1561537315242397,1,0,35.582614494832406,2025-10-08 03:54:02.323702
txn_11,1818,25.11,23,0,0,1,IN,0.5187906217433661,364.2260930642565,3,0,79.18550932761087,2025-10-05 23:35:38.323702
txn_12,1612,26.82,16,1,0,0,BR,0.4110370133182313,10.082774737481968,3,0,71.31908549252617,2025-09-15 06:21:55.323702
txn_13,1122,22.18,5,1,0,0,GB,0.6335297107608947,230.21557498570465,0,1,62.095957434385525,2025-09-17 13:33:51.323702
txn_14,1186,16.51,2,1,0,0,GB,0.016587828927856152,215.2891753648465,2,0,56.04033647433131,2025-09-28 13:51:27.323702
txn_15,1952,9.64,22,1,0,0,GB,0.22855002179729966,57.69517809501641,2,1,48.29427080333977,2025-09-12 04:40:29.323702
txn_16,1651,65.37,22,1,0,0,IN,0.7259556788702394,682.2292047321757,3,0,51.609195063319646,2025-09-20 12:38:48.323702
txn_17,1111,8.56,2,0,0,1,IN,0.30536386034439345,199.43425306767404,2,0,58.388416804617634,2025-09-30 15:32:54.323702
txn_18,1815,109.79,7,0,1,0,GB,0.5683086033354716,29.507118434523147,1,0,48.13109686452632,2025-09-18 16:29:57.323702
txn_19,1775,79.79,1,1,0,0,GB,0.6689240596630996,598.8999747052447,1,0,52.613652239577256,2025-09-23 06:24:42.323702
txn_20,1171,225.69,13,0,0,1,IN,0.015456616528867428,790.657037199567,4,0,43.27798396151115,2025-09-13 14:16:27.323702
txn_21,1017,65.1,21,0,1,0,US,0.09717649377076854,286.3592146553153,2,1,57.91299834958654,2025-09-14 06:01:14.323702
txn_22,1103,95.53,10,0,1,0,US,0.2965101436477985,163.30482392686156,2,0,37.21208424521447,2025-09-25 22:08:13.323702
txn_23,1399,4.17,18,1,0,0,IN,0.093981939840869,259.0242079828304,0,0,54.90827446045298,2025-09-21 03:26:53.323702
txn_24,1124,146.08,21,1,0,0,IN,0.3032655146732228,231.06188077420603,2,1,60.64323595644937,2025-10-08 14:46:51.323702
